patientSurname,patientName,patientSecondSurname,patientDateOfBirthday,patientAddress,patientProfession,patientSex
414,Федоров,Федор,Исидорович,1979-02-02,"с. Абакан, ш. Белорусское, д. 19 стр. 1, 833095",Кровельщик,Ж
415,Абрамов,Лукьян,Архиповна,1970-07-13,"клх Хабаровск, пер. Поселковый, д. 9 стр. 93, 7155",Инженер-гальваник,М
416,Лихачев,Аверьян,Жанович,1940-02-25,"клх Белгород, ш. Марта 8, д. 324 к. 7, 056322",Логопед,Ж
417,Владимиров,Антонин,Ильич,1924-09-07,"г. Черский, алл. Совхозная, д. 7/9 стр. 2/6, 04254",Борт-инженер,М
418,Шестакова,Зиновий,Фокич,1995-10-10,"ст. Дагомыс, ул. Тепличная, д. 925 к. 413, 827890",Техник,Ж
419,Доронина,Добромысл,Владиславович,1944-11-26,"п. Златоуст, ш. Овражное, д. 561 стр. 2/6, 805481",Адвокат,Ж
420,Васильева,Куприян,Иларионович,1982-08-25,"клх Саратов, алл. Стахановская, д. 9 стр. 5, 63123",Автослесарь,М
421,Мясников,Константин,Дмитриевна,2000-01-31,"д. Слюдянка, пр. Чкалова, д. 48 стр. 18, 910046",Ревматолог,М
422,Шестакова,Мариан,Захаровна,1956-03-03,"п. Калач-на-Дону, ул. Февральская, д. 8/5 к. 4/5, ",Плиточник,М
423,Капустина,Геннадий,Геннадиевна,1956-01-11,"г. Яр-Сале, алл. Нижняя, д. 8/9 стр. 5, 222643",Блоггер,Ж
424,Гущин,Азарий,Ильич,1990-09-26,"д. Троицк (Челяб.), алл. Куйбышева, д. 735 к. 46, ",Преподаватель,Ж
425,Меркушев,Никандр,Федотович,1969-04-15,"клх Эльбрус, пер. Марта 8, д. 8, 349567",Шлифовщик,Ж
426,Кононов,Сильвестр,Борисовна,1952-10-19,"ст. Серпухов, ш. Урицкого, д. 9/4 стр. 5/2, 617603",Копирайтер,М
427,Васильева,Антонин,Эдуардовна,1927-01-18,"клх Мезень, бул. Центральный, д. 6/5 к. 8, 388390",Судья,М
428,Денисова,Елизавета,Венедиктович,1982-04-01,"п. Иркутск, ш. Гаражное, д. 7 стр. 4/3, 776414",Вирусолог,Ж
429,Петрова,Максим,Сергеевна,1997-02-07,"г. Владимир, пр. Путейский, д. 14 стр. 470, 726644",Шахтёр,Ж
430,Шарапов,Касьян,Эдгардович,2019-01-13,"с. Апрелевка, наб. Береговая, д. 939 стр. 6/7, 335",Упаковщик,М
431,Лебедев,Аскольд,Гертрудович,2008-12-27,"с. Гусь-Хрустальный, бул. Братский, д. 418 стр. 42",Кинодраматург,Ж
432,Веселова,Олимпий,Аркадьевна,1976-05-18,"с. Тихвин, наб. Болотная, д. 575 к. 1/6, 329214",Декан,М
433,Воробьева,Данила,Тихонович,2019-04-29,"г. Джейрах, ул. Магистральная, д. 81 стр. 7, 79883",Хлебопёк,М
434,Денисов,Казимир,Валерьянович,1965-11-23,"д. Баргузин, пр. Радищева, д. 3 стр. 47, 416891",Водолаз,М
435,Капустин,Сигизмунд,Федосьевич,2019-06-25,"п. Жигулевск, бул. Воровского, д. 2, 231054",Сварщик,Ж
436,Киселев,Афанасий,Филатович,1951-04-08,"к. Ербогачен, наб. Космонавтов, д. 6/9, 596444",Швея,Ж
437,Назарова,Майя,Павловна,1990-03-18,"п. Троицк (Моск.), алл. Урицкого, д. 19 стр. 83, 8",Выпускающий редактор,Ж
438,Жданова,Богдан,Ануфриевич,1944-01-26,"клх Абакан, пер. Ушакова, д. 4 стр. 4, 642558",Астрохимик,Ж
439,Белякова,Яков,Ильясович,1956-01-31,"к. Серафимович, ш. Щербакова, д. 4 к. 84, 483227",Сборщик,М
440,Белякова,Евстигней,Иларионович,1999-05-17,"п. Сладково, пер. Журавлева, д. 9/4 стр. 422, 4670",Маммолог,Ж
441,Шарапова,Казимир,Харитонович,1988-11-17,"с. Россошь, пр. Азовский, д. 127 стр. 2/1, 209693",Биоинженер,М
442,Крылова,Борислав,Даниилович,1992-10-09,"к. Бологое, пр. Волочаевский, д. 56 к. 35, 632350",Лоцман,Ж
443,Сергеева,Ананий,Арсенович,1939-07-13,"с. Котельнич, бул. Воровского, д. 770 стр. 98, 904",Эндоскопист,Ж
444,Кондратьева,Ефим,Константиновна,2018-07-21,"д. Волгоград, пер. Союзный, д. 5/9 к. 739, 072777",Вирусолог,М
445,Самойлова,Ермолай,Феоктистович,2019-10-29,"клх Липецк, пер. Широкий, д. 6/3 к. 6, 269904",Рефлексотерапевт,Ж
446,Суханов,Ульян,Андреевич,1964-10-02,"п. Курган, ул. Коллективная, д. 3, 628027",Сомнолог,М
447,Лукина,Владимир,Валериевна,1946-07-28,"клх Катайск, пер. Механический, д. 202, 767248",Ювелир,М
448,Третьякова,Светозар,Кузьминична,1943-12-31,"д. Игнашино, ул. Почтовая, д. 408 к. 2/8, 783794",Палеонтолог,М
449,Фомичева,Галактион,Адрианович,2022-06-27,"д. Можга, пер. Калинина, д. 478 к. 29, 267467",Дознаватель,М
450,Антонов,Аркадий,Адамович,2007-10-18,"д. Корсаков, ул. Дачная, д. 68 стр. 56, 027743",Типограф,Ж
451,Самойлова,Капитон,Григорьевич,1935-02-01,"п. Верхний Тагил, алл. Окружная, д. 82, 362266",Клинер,Ж
452,Терентьев,Валентина,Кузьминична,2006-06-04,"п. Сосьва (Хант.), пер. Ленина, д. 4/6 к. 36, 6052",Зоолог,М
453,Лебедева,Любим,Елисеевич,2014-12-10,"к. Хасавюрт, наб. Семашко, д. 5 к. 2, 375890",Маркетолог,М
454,Носов,Феофан,Евгеньевна,1936-03-05,"ст. Соловки, алл. Рябиновая, д. 6/4 стр. 2, 222262",Логик,М
455,Крылова,Владимир,Авдеевич,2011-01-09,"клх Буйнакск, пр. Средний, д. 73 стр. 5/5, 620131",Морской пехотинец,Ж
456,Савельева,Владислав,Наумовна,1934-04-11,"к. Калач, пер. Братский, д. 203 к. 560, 962181",Радиотелефонист,М
457,Прохорова,Лариса,Харлампьевич,1991-10-29,"г. Дмитров, алл. Выгонная, д. 490, 497298",Авиационный техник,Ж
458,Данилова,Назар,Виленович,2001-05-13,"п. Новосибирск, ул. Чайкиной, д. 5 к. 619, 476339",Табунщик,Ж
459,Голубева,Милан,Аркадьевна,1966-06-04,"д. Таштагол, бул. Калинина, д. 76 стр. 6/1, 493773",Изобретатр,М
460,Беляева,Регина,Алексеевич,1959-04-05,"клх Тырныауз, бул. Высотный, д. 139, 597165",Системный администратор,Ж
461,Рогова,Изяслав,Ефремович,1937-12-19,"ст. Кашира, пер. Серова, д. 4/4, 507223",Эколог,М
462,Бирюкова,Наталья,Эдгардович,2012-05-29,"клх Переславль-Залесский, ш. Пугачева, д. 3 стр. 6",Зоотехник,М
463,Рожкова,Мирон,Максимовна,1967-05-28,"с. Избербаш, бул. Петровский, д. 57 к. 9/7, 195611",Начальник штаба,Ж
464,Жданова,Сократ,Евстигнеевич,1955-05-30,"п. Кисловодск, пер. Рабочий, д. 18, 186543",Экономист,Ж
465,Носков,Викентий,Владиленович,1975-10-12,"ст. Новокузнецк, наб. Ясная, д. 1/9, 388952",Семейный врач,Ж
466,Стрелкова,Наум,Иосипович,1969-06-28,"ст. Серебряные Пруды, наб. Советская, д. 18, 41378",Сурдопедагог,Ж
467,Михеев,Ираида,Антоновна,1946-11-19,"д. Можга, алл. Заовражная, д. 7/2 стр. 98, 551919",Проходчик,Ж
468,Русакова,Захар,Трофимович,1971-06-09,"с. Шамары, ш. Одесское, д. 5/1 к. 819, 147491",Машинистка,М
469,Денисова,Азарий,Елисеевич,1989-09-16,"с. Вытегра, наб. Безымянная, д. 722 к. 5/3, 683454",Радист,М
470,Дьячков,Адам,Ярославович,2023-08-20,"клх Калуга, ш. Правды, д. 3/9 стр. 75, 485988",Механик-Водитель,М
471,Воронова,Наталья,Венедиктович,2004-10-24,"п. Камень-на-Оби, ул. Астраханская, д. 1, 475305",Огнемётчик,Ж
472,Гришина,Синклитикия,Степановна,2002-09-23,"с. Минеральные Воды, пер. Стадионный, д. 99 к. 763",Санитар,М
473,Брагина,Милан,Ефимович,1942-01-08,"ст. Красногорск (Моск.), ул. Л.Толстого, д. 421 к.",Повар,М
474,Смирнова,Сидор,Денисович,1983-12-13,"д. Кежма, наб. Баумана, д. 2 стр. 5, 593087",Проктолог,М
475,Рожкова,Боян,Борисовна,1987-10-18,"с. Серебряные Пруды, ул. Омская, д. 3 к. 292, 5422",Судья,Ж
476,Казаков,Федор,Никифоровна,2005-10-14,"к. Архыз, бул. Озерный, д. 47 стр. 7/8, 168751",Имиджмейкер,М
477,Одинцов,Венедикт,Фокич,1958-03-03,"д. Хасавюрт, ш. Проточное, д. 1/6 к. 53, 510462",Экспедитор на дальних поездках,М
478,Исаева,Дементий,Архипович,2008-02-25,"с. Новочеркасск, ул. Чкалова, д. 40, 389923",Мерчандайзер,М
479,Фадеева,Амвросий,Егоровна,1954-07-17,"д. Смирных, пр. Стахановский, д. 635 стр. 8, 43050",Садовник,Ж
480,Жданова,Фортунат,Ерофеевич,1935-06-25,"клх Камышин, бул. Карла Маркса, д. 9/6 стр. 8/1, 8",Миколог,Ж
481,Комиссарова,Аникей,Рудольфовна,1946-07-07,"п. Плес, алл. Подстанция, д. 98, 282478",Сомнолог,М
482,Ефремова,Архип,Оскаровна,1986-06-11,"д. Подольск, пер. Выгонный, д. 7 к. 9, 455312",Педиатр,Ж
483,Шубин,Ратибор,Семеновна,2004-02-16,"п. Челябинск, алл. Целинная, д. 733 к. 196, 491614",Иллюстратор,Ж
484,Петров,Антонина,Матвеевич,1947-05-09,"ст. Поярково, ул. Краснофлотская, д. 8/6 стр. 170,",Экономист,Ж
485,Миронов,Мирон,Игоревич,1986-03-25,"к. Черняховск, пер. Павлика Морозова, д. 8 стр. 34",Кнопочник,М
486,Панова,Кондратий,Феоктистович,1946-01-07,"к. Андреаполь, ул. Есенина, д. 31, 867148",Фотограф,М
487,Елисеев,Зоя,Тарасович,1967-01-03,"г. Красноуфимск, бул. Нефтяников, д. 7 к. 599, 964",Дилер,Ж
488,Суворов,Вениамин,Филимонович,1984-02-15,"с. Калининград, ул. Кузнецова, д. 6 стр. 934, 4946",Упаковщик,М
489,Иванов,Тарас,Федотович,2005-10-01,"г. Курумкан, ш. Высоцкого, д. 48 к. 7/1, 582952",Машинист,Ж
490,Максимова,Степан,Андреевна,1957-07-26,"г. Поярково, пер. Черняховского, д. 9/3 к. 7, 7715",Санитар,Ж
491,Миронова,Епифан,Артемьевич,1948-09-26,"п. Троицк (Моск.), ул. Щербакова, д. 7/6 к. 5, 824",Танкист,М
492,Тихонова,Светозар,Анатольевна,1931-05-25,"с. Калевала, наб. Демьяна Бедного, д. 101 к. 7, 94",Манекенщица,Ж
493,Исаева,Лукьян,Феофанович,1952-04-23,"г. Камень-на-Оби, ш. 60 лет СССР, д. 4/4 к. 63, 34",Астроном,Ж
494,Лапин,Ким,Ярославович,1926-11-16,"д. Вытегра, ш. Строительное, д. 7/4, 114480",Начальник склада,М
495,Быкова,Борислав,Еремеевич,1942-03-19,"ст. Псебай, алл. Леонова, д. 799 к. 948, 820901",Энтомолог,М
496,Воронцов,Лавр,Иларионович,1999-12-16,"с. Данков, бул. Центральный, д. 748 к. 336, 118686",Монтажник связи,М
497,Пахомов,Федор,Герасимович,2013-06-11,"ст. Малоярославец, ш. 8-е Марта, д. 24, 810176",Детектив,Ж
498,Гуляев,Эдуард,Иосипович,2000-09-18,"п. Игнашино, наб. Кубанская, д. 4, 027060",Виноградарь,Ж
499,Шашкова,Всемил,Яковлевна,2008-09-17,"с. Видное, ш. Дружба, д. 573 стр. 67, 704245",Военный переводчик,Ж
500,Козлова,Всеслав,Игоревна,2002-07-25,"ст. Мичуринск, бул. Морозова, д. 3/7 к. 5, 811898",Географ,Ж
501,Калашникова,Егор,Даниилович,1938-02-23,"клх Кедровый, пер. Одесский, д. 92, 561548",Швея,Ж
502,Тимофеева,Юрий,Леоновна,1935-12-17,"с. Нефтекамск, пер. Журавлева, д. 291 стр. 4/5, 95",Выпускающий редактор,М
503,Лебедев,Мартьян,Владиленович,1947-08-21,"п. Астрахань, пр. Беляева, д. 114, 350494",Метеоролог,М
504,Кошелев,Велимир,Эдуардович,1936-07-11,"п. Петрозаводск, наб. Радужная, д. 783 стр. 60, 37",Оториноларинголог,М
505,Ефремова,Парфен,Афанасьевич,1960-03-09,"к. Балашов, ш. Пугачева, д. 7/1 к. 11, 831629",Водитель,М
506,Коновалов,Пантелеймон,Харлампович,1986-12-14,"п. Шелагонцы, пр. Рябиновый, д. 1/7, 833501",Моторист,М
507,Емельянова,Захар,Львовна,1965-07-28,"г. Омск, ул. Стахановская, д. 47, 147171",Артист цирка,М
508,Елисеев,Бажен,Филипповна,2010-05-23,"п. Старый Оскол, ш. Базарное, д. 50 к. 4/4, 069535",Пулемётчик,Ж
509,Никонов,Данила,Тарасович,1952-11-08,"ст. Валаам, ш. Ленина, д. 6, 816227",Химик,М
510,Рябов,Софон,Устинович,1953-08-31,"г. Александровск, пер. Сосновый, д. 158 стр. 10, 1",Фельдшер,М
511,Петухов,Милица,Ефимович,1952-04-11,"к. Хабаровск, ш. Л.Толстого, д. 7, 401588",Уборщик,Ж
512,Ковалева,Клавдия,Владиславович,1993-03-03,"ст. Верхотурье, бул. Зои Космодемьянской, д. 111 к",Кладовщик,М
513,Муравьев,Валерий,Димитриевич,2022-04-25,"к. Ребриха, алл. Подстанция, д. 4, 086062",Бактериолог,М
514,Лебедев,Яков,Дмитриевич,1940-12-14,"д. Кабанск, пер. Леонова, д. 59 стр. 6/4, 631438",Микробиолог,Ж
515,Егорова,Корнил,Эдуардовна,1994-11-29,"с. Раменское, алл. Смоленская, д. 9/8 стр. 707, 95",Лифтёр,Ж
516,Сафонов,Пахом,Ааронович,2004-12-20,"к. Павловский Посад, наб. Урожайная, д. 1/7, 34148",Пчеловод,М
517,Степанов,Никанор,Петровна,1977-05-17,"с. Смоленск, бул. Портовый, д. 1 к. 6/1, 193129",Музыкант,М
518,Кириллов,Аскольд,Анисимович,1993-09-27,"к. Сеймчан, пр. Путевой, д. 1 стр. 4/5, 526921",Пограничник,М
519,Костин,Симон,Антипович,2003-07-14,"к. Белоярский, пер. 9 Января, д. 1 стр. 7, 251887",Конвоир,М
520,Вишняков,Евлампий,Архиповна,1968-12-11,"д. Канск, пер. Котовского, д. 4 стр. 3, 329530",Инженер-конструктор,Ж
521,Шестаков,Евсей,Феоктистович,2020-05-04,"ст. Смирных, пр. Смирнова, д. 6/6 к. 9/7, 676587",Кодер,Ж
522,Комарова,Терентий,Евстигнеевич,1997-06-07,"клх Новомичуринск, пер. Черняховского, д. 1/8, 889",Декоратор,Ж
523,Дорофеева,Лукия,Денисович,1982-05-05,"с. Геленджик, пер. Серова, д. 73 к. 581, 413599",Сексопатолог,М
524,Богданов,Самсон,Владиславовна,1957-01-28,"к. Курумкан, пр. Герцена, д. 6 к. 3/2, 750307",Златокузнец,Ж
525,Копылова,Аверьян,Антонович,2011-06-22,"г. Александровск, пр. Чкалова, д. 5 к. 9/3, 137622",Швейцар,Ж
526,Суханов,Кира,Гавриилович,1934-08-24,"д. Калач-на-Дону, бул. Журавлева, д. 36 стр. 3/7, ",Тренд-вотчер,Ж
527,Кошелев,Анастасия,Иосифович,1979-08-10,"д. Саранск, ул. Гайдара, д. 1/9, 919013",Донкерман,Ж
528,Беляев,Александр,Макаровна,1981-03-22,"д. Нерчинск, пр. Черемуховый, д. 6 стр. 22, 106859",Выпускающий редактор,Ж
529,Суворова,Илья,Сергеевна,1986-12-08,"д. Армавир, ул. Советская, д. 38 к. 31, 524948",Психолог,М
530,Соловьева,Святополк,Федотович,2020-09-28,"с. Черусти, наб. Надежды, д. 11, 350620",Режиссёр,М
531,Бирюкова,Пелагея,Антоновна,1949-06-28,"клх Борзя, наб. Приморская, д. 4 к. 4, 989447",Педагог,М
532,Виноградов,Вероника,Леоновна,2020-06-28,"с. Томск, алл. Мирная, д. 97 к. 511, 169375",Плотник,М
533,Поляков,Владислав,Аксёнович,1984-06-28,"д. Губкин, алл. Украинская, д. 5/2 стр. 21, 103429",Растениевод,М
534,Мухин,Иосиф,Натановна,1975-12-28,"д. Любань, пр. Заречный, д. 54 к. 1, 389100",Крупье,Ж
535,Волков,Глафира,Макаровна,1989-10-23,"к. Геленджик, ш. Щербакова, д. 7/4 к. 14, 814376",Андролог,Ж
536,Блохина,Виктория,Рудольфовна,1947-12-03,"ст. Мичуринск, пр. Деповский, д. 4/6 стр. 636, 059",Хлебопёк,М
537,Пономарев,Данила,Ермилович,1986-03-06,"г. Черкесск, наб. Угловая, д. 2 стр. 1, 487589",Промышленный альпинист,Ж
538,Лапин,Фирс,Ефимьевич,1969-01-04,"с. Курчатов, ш. Окружное, д. 9 к. 313, 288488",Эндокринолог,М
539,Титова,Захар,Изотович,1987-12-29,"с. Эльбрус, ш. Челюскинцев, д. 547 стр. 2/8, 84630",Биохимик,М
540,Ильина,Мирон,Валерианович,1986-11-02,"г. Тотьма, алл. Свердлова, д. 97, 098912",Лекальщик,Ж
541,Орлов,Матвей,Васильевна,2018-08-11,"клх Токма, алл. Маяковского, д. 2/8, 215522",Филолог,Ж
542,Воронова,Глафира,Гаврилович,1991-03-21,"клх Кедровый, бул. Маркса Карла, д. 460, 824589",Государственный исполнитель,Ж
543,Потапов,Тимофей,Аскольдовна,2009-02-08,"д. Чебоксары, алл. Окружная, д. 7, 319078",Рефлексотерапевт,Ж
544,Маслова,Игнатий,Викторовна,2022-05-07,"с. Нефтегорск (Самар.), наб. Гаражная, д. 4/7 к. 3",Иллюстратор,М
545,Мартынов,Орест,Харлампович,1945-07-20,"г. Тырныауз, ш. Заливное, д. 425 стр. 1/2, 052912",Зенитчик,М
546,Нестеров,Андроник,Петровна,1984-07-26,"д. Егорьевск, наб. Таманская, д. 71, 755605",Учитель,М
547,Миронова,Раиса,Фролович,2004-06-30,"п. Нижневартовск, наб. Победа, д. 92 к. 3/3, 30238",Артист цирка,Ж
548,Нестерова,Юлий,Николаевна,2017-04-18,"п. Сковородино, наб. Леваневского, д. 8, 964617",Культуролог,Ж
549,Тетерин,Роман,Архиповна,1930-06-15,"д. Красноселькуп, ул. Полевая, д. 24 к. 44, 704197",Мерчандайзер,М
550,Гаврилова,Будимир,Олеговна,2010-09-02,"д. Горно-Алтайск, наб. Заозерная, д. 26 стр. 26, 8",Налоговый инспектор,М
551,Гурьева,Наина,Еремеевич,2022-05-09,"клх Хасан, пр. Водников, д. 777, 813819",Шорник,М
552,Абрамов,Лучезар,Захарьевич,1992-10-02,"клх Белый Яр (Томск.), пер. Речной, д. 20, 575720",Таксист,М
553,Антонова,Мечислав,Кузьминична,2002-02-28,"клх Сосновый Бор, пр. Городской, д. 793 стр. 5/3, ",Кассир,Ж
554,Калинина,Яков,Харламович,1953-05-17,"д. Эльбрус, бул. Станционный, д. 4, 084938",Лекальщик,М
555,Давыдова,Виктор,Богданович,1936-05-20,"п. Грозный, пр. Приморский, д. 2/6 стр. 1/6, 91085",Миколог,Ж
556,Носов,Ипат,Александровна,2019-09-24,"к. Усть-Баргузин, наб. Карла Либкнехта, д. 6/6 стр",Декоратор,Ж
557,Жданов,Велимир,Федосеевич,1940-05-12,"д. Петрозаводск, наб. Крестьянская, д. 3 к. 5, 372",Токарь,Ж
558,Рожков,Василиса,Ааронович,1997-09-12,"к. Шерегеш, ул. Леонова, д. 1/4, 848258",Экономист,Ж
559,Мартынов,Алина,Ниловна,1951-08-30,"г. Приозерск, наб. Тукая, д. 524 стр. 6, 600071",Эколог,Ж
560,Артемьев,Клавдий,Федосеевич,1941-04-05,"д. Сладково, ул. Ореховая, д. 9/4 к. 7, 306656",Брейдер,М
561,Лазарев,Елена,Жанович,1950-01-01,"п. Карпинск, наб. Карьерная, д. 7, 161928",Сапожник,Ж
562,Герасимова,Дарья,Анатольевич,1925-08-06,"к. Каргополь, бул. Иркутский, д. 9/7 к. 7, 051530",Бондарь,М
563,Голубев,Архип,Тимуровна,1953-01-12,"клх Орел, алл. 8 Марта, д. 2 стр. 8, 550609",Химик-контролер,Ж
564,Зыкова,Лавр,Степановна,1981-05-07,"г. Смоленск, ул. Ясная, д. 34 стр. 78, 234667",Невролог,Ж
565,Панфилова,Валентина,Тимофеевна,1941-09-08,"клх Старый Оскол, ул. К.Маркса, д. 679, 172856",Ветеринар,М
566,Яковлева,Владимир,Робертовна,2023-05-14,"г. Воскресенск, пер. Мусы Джалиля, д. 8 к. 239, 08",Телохранитель,М
567,Гусев,Лукия,Абрамович,1961-10-15,"д. Кабанск, пр. Партизанский, д. 76 стр. 951, 1281",Скорняк,Ж
568,Жуков,Ладимир,Захарьевич,1927-08-15,"к. Льгов, наб. Шмидта, д. 52, 654287",Артист цирка,М
569,Ширяев,Октябрина,Дмитриевич,2007-12-15,"д. Пушкино (Моск.), алл. Пожарского, д. 535 к. 4/2",Ботаник,Ж
570,Галкин,Гостомысл,Фомич,2012-01-28,"с. Тамбей, наб. Ореховая, д. 5/9 к. 656, 889200",Океанолог,Ж
571,Романов,Кирилл,Алексеевна,1975-04-04,"ст. Анива, алл. Вокзальная, д. 635 к. 6/2, 928441",Грейдерист,М
572,Фадеева,Фока,Жанович,1973-05-26,"д. Хужир, ул. Воровского, д. 959, 596463",Балерина,Ж
573,Попова,Вацлав,Изотович,1964-12-17,"г. Тобольск, пр. Трудовой, д. 98 стр. 79, 750553",Монтажник радиоэлектронной апп,М
574,Морозов,Аполлинарий,Трифонович,1930-08-17,"к. Шенкурск, ш. Журавлева, д. 76 стр. 6/7, 577910",Начальник службы,М
575,Николаева,Фома,Данилович,1990-12-19,"ст. Галич, ш. Спартака, д. 5/6 стр. 77, 063862",Филолог,Ж
576,Белозеров,Регина,Авдеевич,1952-12-10,"д. Курильск, ул. Кочубея, д. 62 к. 2, 147372",Огнемётчик,Ж
577,Кудрявцева,Евстафий,Ефремович,2001-05-11,"к. Ставрополь, наб. Ярославская, д. 38 стр. 775, 4",Хлопокороб,Ж
578,Лихачев,Сильвестр,Фомич,1953-04-02,"с. Южно-Сахалинск, ул. Просторная, д. 4 к. 4, 4013",Кок,Ж
579,Князев,Стоян,Павловна,1993-04-15,"к. Алексин, бул. Специалистов, д. 9 стр. 7, 026587",Программист,М
580,Владимирова,Митофан,Наумовна,1962-07-07,"к. Мелеуз, ш. Зои Космодемьянской, д. 4 к. 4/3, 92",Психолог,М
581,Кабанов,Ефрем,Всеволодович,1977-08-28,"ст. Холмогоры, алл. Краснодарская, д. 255, 487881",Автослесарь,Ж
582,Денисов,Олимпиада,Марсович,1969-12-17,"к. Мокшан, ш. Весеннее, д. 3/3 стр. 523, 264928",Спортивный врач,Ж
583,Никонов,Андрей,Тарасовна,1970-01-12,"д. Егорьевск, пр. Высотный, д. 334 к. 83, 564410",Радиомеханик,Ж
584,Абрамова,Пахом,Тихонович,1927-02-27,"п. Жуковский, ул. Комсомольская, д. 82, 925305",Семейный врач,М
585,Казаков,Ия,Афанасьевна,1961-11-26,"ст. Уэлен, алл. Пожарского, д. 481, 147108",Менеджер по работе с клиентами,Ж
586,Титова,Софрон,Аскольдовна,1968-02-11,"г. Горячий Ключ, бул. Киевский, д. 4/2 к. 3, 42371",Кодер,Ж
587,Гурьев,Исай,Ивановна,1937-08-18,"п. Воронеж, ш. Степное, д. 68 стр. 7, 518793",Кодер,Ж
588,Щербаков,Зосима,Львовна,1980-10-02,"п. Ряжск, ул. Культуры, д. 35, 931748",Каменотёс,М
589,Красильникова,Аникита,Авдеевич,1924-01-09,"к. Аргаяш, наб. Депутатская, д. 48, 249285",Мотострелок,М
590,Блохин,Любомир,Валерьянович,1945-12-18,"г. Минусинск, ул. Победа, д. 2/2 к. 825, 982029",Инженер,М
591,Устинов,Лаврентий,Ивановна,2023-01-29,"ст. Углегорск, ш. Крупской, д. 9/4 к. 2, 540855",Виноградарь,Ж
592,Самсонова,Терентий,Захаровна,1952-05-01,"к. Забайкальск, ул. Больничная, д. 1/8 к. 129, 678",Учитель,Ж
593,Панфилов,Лавр,Вадимовна,1952-03-10,"с. Колпашево, ш. Лунное, д. 8/6 к. 2/8, 788172",Печатник,Ж
594,Наумов,Ладислав,Оскаровна,2015-01-04,"ст. Осташков, наб. Бульварная, д. 87, 414526",Пограничник,М
595,Архипов,Азарий,Евгеньевна,2015-06-08,"к. Йошкар-Ола, ул. Правды, д. 5/2 стр. 10, 853299",Генетик,М
596,Логинова,Спартак,Валерьевич,1998-11-19,"ст. Магадан, пер. Гафури, д. 68 стр. 73, 734674",Дипломатический работник,Ж
597,Ершов,Самуил,Валентинович,1985-07-03,"с. Калач, алл. Марта 8, д. 4 к. 98, 381830",Горнострелок,Ж
598,Степанова,Елисей,Зиновьевич,1928-12-24,"к. Кажим, наб. Короленко, д. 710 к. 3, 849819",Религиовед,Ж
599,Лаврентьева,Леонтий,Федотович,1987-07-16,"д. Астрахань, ул. Крупской, д. 503, 801472",Инженер по механизации,М
600,Алексеева,Куприян,Михайловна,1930-02-24,"п. Сыктывкар, алл. Буденного, д. 34 к. 3, 622556",Десантник,М
601,Герасимова,Федот,Леонидовна,2015-11-16,"ст. Южно-Сахалинск, пер. Западный, д. 4 к. 2/1, 32",Балерина,Ж
602,Михайлова,Ермил,Романовна,1968-05-29,"г. Губаха, ул. Отрадная, д. 906 стр. 3/4, 359284",Фальцовщик,М
603,Галкина,Остромир,Владленович,1932-04-16,"п. Шали, алл. 70 лет Октября, д. 95 стр. 6, 124341",Метранпаж,М
604,Сергеев,Маргарита,Антоновна,1934-07-18,"ст. Сызрань, пр. Прудовой, д. 399 к. 42, 635298",Мусорщик,М
605,Зыков,Лаврентий,Феофанович,1931-11-05,"с. Калач-на-Дону, бул. Гоголя, д. 7, 645641",Биоинженер,М
606,Моисеев,Лев,Ефстафьевич,1984-06-15,"к. Сарапул, наб. Белорусская, д. 54 стр. 43, 33340",Педагог,Ж
607,Белозеров,Фотий,Алексеевич,1981-02-23,"к. Кузнецк, ул. Нагорная, д. 4/1 к. 9, 408482",Штукатур,Ж
608,Белозеров,Лукьян,Филимонович,1930-05-10,"ст. Вязьма, алл. Отрадная, д. 8/1 стр. 5/8, 671350",Политолог,М
609,Комаров,Василиса,Альбертовна,1957-04-06,"п. Москва, бул. Подгорный, д. 7/5 к. 3, 869041",Монтажник радиоэлектронной апп,М
610,Мамонтов,Дементий,Егоровна,1928-04-12,"г. Мокшан, алл. 50 лет Октября, д. 8/5 к. 6/9, 354",Автогонщик,Ж
611,Веселова,Автоном,Валентинович,2000-01-04,"клх Оймякон, бул. Луговой, д. 8 стр. 6/4, 499239",Балерина,М
612,Григорьев,Венедикт,Рубеновна,1931-01-07,"п. Плесецк, пер. Привокзальный, д. 52 к. 6, 440404",Сборщик,Ж
613,Никифоров,Серафим,Владленович,2022-07-21,"ст. Пушкинские Горы, пр. Клубный, д. 6 стр. 96, 04",Лётчик,Ж
614,Галкин,Каллистрат,Ефстафьевич,1967-09-23,"клх Верещагино (Перм.), бул. Угольный, д. 2/9, 656",Пожарный,Ж
615,Самойлова,Регина,Анатольевич,1982-02-01,"клх Ачхой Мартан, ш. Магистральное, д. 71, 618052",Интендант,Ж
616,Беляева,Ипат,Богдановна,2003-09-19,"клх Тикси, пер. Шоссейный, д. 115, 772071",Слесарь,М
617,Овчинников,Самуил,Фёдорович,2010-08-31,"с. Лысьва, пр. Кочубея, д. 81 стр. 584, 784797",Изобретатр,Ж
618,Беляков,Ираида,Леонидовна,1992-06-12,"п. Губаха, ш. Кавказское, д. 71 к. 674, 664034",Садовод,Ж
619,Жукова,Михаил,Рудольфовна,1988-04-05,"клх Сургут (Хант.), пр. Таманский, д. 9 стр. 545, ",Эндокринолог,Ж
